R,Sel,Date,Month,Day,Year,Composition,Composed,Event,Venue,Street,City,State,ZIP,Performers,Conductor,Image,Notes,Extra
,,2016,,,,,,,,,,,,,,,,
,,9/12/16,9,12,2016,Smoke and Mirrors,2013,ICMC 2016,"TivoliVredenburg, Hertz",Vlaamse Toren 7 ,Utrecht,NL,,Modelo62,,icmc2016.png,,
,,6/18/16,6,18,2016,the view from here,2016,Music in the American Wild Tour,"Byrd Visitor Center, Shenandoah National Park",Skyline Drive Milepost 51,Stanley,VA,22851,Music in the American Wild Ensemble,,mitaw.jpg,,
,,6/17/16,6,17,2016,the view from here,2016,Music in the American Wild Tour,The Theatre,291 Gay Street,Washington,VA,22747,Music in the American Wild Ensemble,,mitaw.jpg,,
,,6/14/16,6,14,2016,the view from here,2016,Music in the American Wild Tour,"Top of Purchase Knob, Great Smoky Mountains National Park",107 Purchase Rd,Waynesville,TN,28785,Music in the American Wild Ensemble,,mitaw2.jpg,,
,,6/9/16,6,9,2016,the view from here,2016,Music in the American Wild Tour,Locust Grove,561 Blankenbaker Lane,Louisville,KY,40207,Music in the American Wild Ensemble,,mitaw3.jpg,,
,,05/22/16,5,22,2016,Smoke and Mirrors,2013,Queens New Music Festival,Big Secret Theatre,,"Long Island City, Queens",NY,,Switch~ Ensemble,Jason Thorpe Buchanan,switch.jpg,,
,,04/29/16,4,29,2016,a thing of dream and mist,2011,,Weinstein Center Global Commons,,Richmond,VA,,"Emily Loboda, soprano saxophone",,emilyloboda.jpg,,
,,2/13/16,2,13,2016,"in shadow, in shade",2016,SEAMUS 2016,Carol A. Carter Recital Hall,,Statesboro,GA,,"Keith Kirchoff, piano",,keithkirchoff.jpg,,
,,2015,,,,,,,,,,,,,,,,
,,11/6/15,11,6,2015,Recast Fragments,2015,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,Ensemble U:,,ensembleu.jpg,,
,,11/3/15,11,3,2015,Recast Fragments,2015,St Cloud State University,"Performing Arts Center, Recital Hall",,620 3rd Ave South.,MN,,Ensemble U:,,ensembleu.jpg,,
,,4/19/15,4,19,2015,deep in liquid indigo,2012,Austin Peay State University,MMC Concert Hall,,Clarksville,TN,,Gateway Chamber Ensemble,Gregory Wolynec,gateway.jpg,,
,,4/20/15,4,20,2015,deep in liquid indigo,2012,,Downtown Presbyterian Church,,Nashville,TN,,Gateway Chamber Ensemble,Gregory Wolynec,gateway.jpg,,
,,2/23/15,2,23,2015,a thing of dream and mist,2011,Noa Even Solo Recital,Oklahoma State University,,Stillwater,OK,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/21/15,2,21,2015,a thing of dream and mist,2011,North American Saxophone Alliance Conference - Region 4,University of Oklahoma,,Norman,OK,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/19/15,2,19,2015,a thing of dream and mist,2011,Noa Even Solo Recital,Wichita State University,,Wichita,KS,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/18/15,2,18,2015,a thing of dream and mist,2011,Noa Even Solo Recital,University of Missouri-Kansas City,,Kansas City,MO,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/13/15,2,13,2015,a thing of dream and mist,2011,Noa Even Faculty Recital,"Kent State University, Ludwig Recital Hall",,Kent,OH,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2014,,,,,,,,,,,,,,,,
,,11/14/14,11,14,2014,a thing of dream and mist,2011,Electroacoustic Barn Dance,University of Mary Washington,,Fredericksburg,VA,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
,S,11/7/14,11,7,2014,Smoke and Mirrors,2013,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,eighth blackbird,,,,
,,10/18/14,10,18,2014,a thing of dream and mist,2011,Bowling Green State University New Music Festival,Kobacker Hall,,Bowling Green,OH,,"John Sampen, soprano saxophone",,sampen.jpg,,
N,,7/10/14,7,10,2014,Star Lit Cigarette,2014,Ritsos Project,Karlovassi Town Hall,,"Karlovassi, Samos Island",GR,,"Sophie Burgos, soprano; Daniel Pesca, piano",,sophieburgos.jpg,,
N,,7/4/14,7,4,2014,Star Lit Cigarette,2014,Ritsos Project,Megaron Performing Arts Complex,,Athens,GR,,"Sophie Burgos, soprano; Daniel Pesca, piano",,danielpesca.jpg,,
Y,,6/2/14,6,2,2014,Smoke and Mirrors,2013,New York City Electroacoustic Music Festival,Abrons Arts Center,,New York City,NY,,Switch~ Ensemble,Jason Thorpe Buchanan,switch.jpg,,
Y,,5/21/14,5,21,2014,Smoke and Mirrors,2013,,Hallwalls Contemporary Arts Center,,Buffalo,NY,,Switch~ Ensemble,Daniel Bassin,switch.jpg,,
,,4/26/14,4,26,2014,a thing of dream and mist,2011,Northwestern University New Music Conference,Regenstein Master Classroom,,Chicago,IL,,"Scotty Phillips, soprano saxophone",,scottyphillips.jpg,,
Y,,4/18/14,4,18,2014,a thing of dream and mist,2011,Ea(s)talia: Guest Artist Concert,Ray Wright Room,,Rochester,NY,,"Michele Bianchini, soprano saxophone",,michelebianchini.jpg,,
N,,4/8/14,4,8,2014,Two Pieces for Chamber Orchestra,2014,,Kilbourn Hall,,Rochester,NY,,Eastman Composers Sinfonietta,Jerry Hou,jerryhou.jpg,,
,,2013,,,,,,,,,,,,,,,,
Y,,11/20/13,11,20,2013,Smoke and Mirrors,2013,Eastman Computer Music Center Concert,Hatch Recital Hall,,Rochester,NY,,Switch~ Ensemble,Jason Thorpe Buchanan,switchhatch.jpg,,
Y,,11/4/13,11,4,2013,deep in liquid indigo,2012,Notes from New England,Clarice Smith Performing Arts Center,,College Park,MD,,TEMPO New Music Ensemble,,tempo.jpg,,
Y,S,11/2/13,11,2,2013,Smoke and Mirrors,2013,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,Oberlin Contemporary Music Ensemble,Tim Weiss,timweiss.jpg,,
,,10/16/13,10,16,2013,the resonance after...,2008,,Roulette,,Brooklyn,NY,,American Modern Ensemble,Robert Patterson,amegroup.jpg,,
,,10/8/13,10,8,2013,the resonance after...,2008,JMU Contemporary Music Festival,Forbes Center for the Performing Arts,,Harrisonburg,VA,,American Modern Ensemble,Robert Patterson,amegroup.jpg,,
N,,9/28/13,9,28,2013,a thing of dream and mist,2011,,Panoply Performance Laboratory,,Brooklyn,NY,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
Y,,9/20/13,9,20,2013,the resonance after...,2008,New Music Lafayette Series,"Williams Center for the Arts, Lafayette College",,Easton,PA,,American Modern Ensemble,Robert Patterson,amegroup.jpg,,
Y,S,8/22/13,8,22,2013,Smoke and Mirrors II,2013,Domaine Forget,Salle Fran̤oys-Bernier,,"Saint-Ir̩n̩e, Quebec",CN,,Le Nouvel Ensemble Moderne,Lorraine Vaillancourt,lenem.jpg,,
Y,,8/19/13,8,19,2013,the resonance after...,2008,Domaine Forget,Salle Fran̤oys-Bernier,,"Saint-Ir̩n̩e, Quebec",CN,,Le Nouvel Ensemble Moderne,Lorraine Vaillancourt,lenem.jpg,,
Y,,4/20/13,4,20,2013,Smoke and Mirrors,2013,SEAMUS 2013,Central Presbyterian Church,,St. Paul,MN,,Ensemble 61,,,,
Y,,4/3/13,4,3,2013,a thing of dream and mist,2011,New York City Electroacoustic Music Festival,Elebash Hall,,New York City,NY,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
Y,,3/29/13,3,29,2013,deep in liquid indigo,2012,Ossia New Music Concert,Kilbourn Hall,,Rochester,NY,,Ossia New Music Ensemble,Jerry Hou,jerryhou.jpg,,
Y,,2/1/13,2,1,2013,a thing of dream and mist,2011,Florida State New Music Festival,Opperman Music Hall,,Tallahassee ,FL,,"Scotty Phillips, soprano saxophone",,scottyphillips.jpg,,
,,2012,,,,,,,,,,,,,,,,
Y,,11/3/12,11,3,2012,"in shadow, in shade",2012,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,"Keith Kirchoff, piano",,keithkirchoff.jpg,,
N,,8/2/12,8,2,2012,Three Introductions,2012,American Conservatory Composers' Concert,Fontainebleau,,Fontainebleau,FR,,American Conservatory Students,,,,"Chelsea Starbuck Smith, violin; Lucie Granger, cello; Siyi Fang, piano"
Y,S,6/7/12,6,7,2012,deep in liquid indigo,2012,June in Buffalo,Lippes Concert Hall,,Buffalo,NY,,Ensemble Interface,Scott Voyles,ensembleinterface.jpg,,
Y,S,5/11/12,5,11,2012,the resonance after...,2008,Cornell MCTS Conference,Barnes Hall,,Ithaca,NY,,Argento Chamber Ensemble,Matt Ward,,,
N,,4/5/12,4,5,2012,through a glass darkly,2011,,Manhattan School of Music,,New York City,NY,,Color Field Ensemble,,cfe.jpg,,
N,,3/6/12,3,6,2012,through a glass darkly,2011,Color Field Ensemble Winter Tour,Rosch Recital Hall,,Fredonia,NY,,Color Field Ensemble,,cfe.jpg,,
Y,,3/5/12,3,5,2012,Shifts,2010,Concert with Verb Ballet,Baldwin Wallace Conservatory,,Berea,OH,,Cleveland Chamber Symphony,Steven Smith,ccsverb.jpg,,
Y,,3/4/12,3,4,2012,through a glass darkly,2011,Color Field Ensemble Winter Tour,Eastman School of Music,,Rochester,NY,,Color Field Ensemble,,cfe.jpg,,
N,,3/3/12,3,3,2012,through a glass darkly,2011,Color Field Ensemble Winter Tour,Unity Church,,Buffalo,NY,,Color Field Ensemble,,cfe.jpg,,
Y,,2/9/12,2,9,2012,the resonance after...,2008,SEAMUS 2012,Lawrence University Chapel,,Appleton,WI,,Lawrence University Ensemble,Dylan C-Moore,,,
,,2011,,,,,,,,,,,,,,,,
N,,11/9/11,11,9,2011,Homage Fragment,2011,ADJ-ective New Music Concert,St. Mark's Episcopal Church,,Toledo,OH,,ADJ Trio,,,"Andrew Martin Smith, clarinet; Jamie Leigh Sampson, bassoon; Sipkje Pesnichak, oboe","Andrew Martin Smith, clarinet; Jamie Leigh Sampson, bassoon; Sipkje Pesnichak, oboe"
Y,,11/4/11,11,4,2011,a thing of dream and mist,2011,Third Practice Electroacoustic Music Festival,Camp Concert Hall ,,Richmond,VA,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
N,,10/13/11,10,13,2011,the resonance after...,2008,Eastman Composers' Forum,Kilbourn Hall,,Rochester,NY,,Eastman Chamber Ensemble,Jason Thorpe Buchanan,,"Sarah Winstein-Hibbs, flute; Madison Greenstone, clarinet/bass clarinet; Molly Werts, violin; Samuel Pierce-Ruhland, cello; Emily Park, percussion; Ada Jeon, piano","Sarah Winstein-Hibbs, flute; Madison Greenstone, clarinet/bass clarinet; Molly Werts, violin; Samuel Pierce-Ruhland, cello; Emily Park, percussion; Ada Jeon, piano"
Y,S,5/9/11,5,9,2011,Shifts,2010,Young and Emerging Composer Series,The Music Settlement,,Cleveland,OH,,Cleveland Chamber Symphony,Steven Smith,ccsverb.jpg,,
Y,,1/20/11,1,20,2011,The Spark of Opposites,2009,SEAMUS 2011,Victor E. Clarke Recital Hall,,Coral Gables,FL,,"Madeleine Shapiro, cello",,madeleineshapiro.jpg,,
,,2010,,,,,,,,,,,,,,,,
Y,S,12/13/10,12,13,2010,the resonance after...,2008,Pieces of Eight,Galapagos Art Space,,Brooklyn,NY,,American Modern Ensemble,Robert Patterson,amegroup.jpg,,
Y,,11/5/10,11,5,2010,Doppelganger,2010,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,"Ellery Trafford, percussion",,,,
N,S,10/22/10,10,22,2010,Shifts,2010,Richmond Symphony Orchestra Readings,Camp Concert Hall,,Richmond,VA,,The Richmond Symphony Orchestra,Steven Smith,,,
Y,,9/22/10,9,22,2010,The Spark of Opposites,2009,12 Nights of Computer Music and Art,Harold Golen Gallery,,Miami,FL,,"Madeleine Shapiro, cello",,madeleineshapiro.jpg,,
N,,9/17/10,9,17,2010,Doppelganger,2010,Threshold Electroacoustic Music Festival,Bryan Recital Hall,,Bowling Green,OH,,"Ellery Trafford, percussion",,ellery.jpg,,
Y,,6/14/10,6,14,2010,the resonance after...,2008,Accent 10 Student Concert,Watson Recital Hall,,Cincinnati,OH,,Accent10 Festival Ensemble,,,,
N,,4/25/10,4,25,2010,Omaggio a Sciarrino,2010,Dal Niente Readings,BGSU Choral Hall,,Bowling Green,OH,,dal niente,,,,
Y,S,3/25/10,3,25,2010,The Spark of Opposites,2009,New York City Electroacoustic Music Festival,Elebash Hall,,New York City,NY,,"Madeleine Shapiro, cello",,madeleineshapiro.jpg,,
Y,,2/13/10,2,13,2010,The Spark of Opposites,2009,Ball State University New Music Festival,Sursa Performance Hall,,Muncie,IN,,"Jennifer Psujek, cello",,,,
N,,2/5/10,2,5,2010,Maelstrom,2009,Student Composers' Forum,Bryan Recital Hall,,Bowling Green,OH,,"Benjamin Taylor, trumpet",,,,
N,,2/1/10,2,1,2010,the resonance after...,2008,Austin Peay State University,MMC Concert Hall,,Clarksville,TN,,Gateway Chamber Ensemble,Gregory Wolynec,gateway.jpg,,
,,2009,,,,,,,,,,,,,,,,
N,,12/6/09,12,6,2009,The Spark of Opposites,2009,Student Composers' Forum,Bryan Recital Hall,,Bowling Green,OH,,"Heather Stebbins, cello",,heather.jpg,,
N,,12/4/09,12,4,2009,Maelstrom,2009,Arts X Festival,Wankelman Gallery,,Bowling Green,OH,,"Benjamin Taylor, trumpet",,,,
N,,11/6/09,11,6,2009,The Spark of Opposites,2009,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,"Heather Stebbins, cello",,heather.jpg,,
N,,10/14/09,10,14,2009,Emergence,2009,Student Composers' Forum,Bryan Recital Hall,,Bowling Green,OH,,BGSU Trombone Choir,,,,
N,,3/1/09,3,1,2009,The Spark of Opposites,2009,Heather Stebbins' Senior Recital,Camp Concert Hall,,Richmond,VA,,"Heather Stebbins, cello",,heather.jpg,,
N,,3/1/09,3,1,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
N,,2/28/09,2,28,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
N,S,2/27/09,2,27,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
N,,2/26/09,2,26,2009,the resonance after...,2008,Imagine Dance Concert,Alice Jepson Theatre,,Richmond,VA,,eighth blackbird,,,,
,,2008,,,,,,,,,,,,,,,,
N,,11/7/08,11,7,2008,the resonance after...,2008,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,eighth blackbird,,,,
,,2007,,,,,,,,,,,,,,,,
E,,2/1/07,2,1,2007,Pulses,2007,eighth blackbird Readings,Camp Concert Hall,,Richmond,VA,,eighth blackbird,,,,
